Gender,Above 21,Age,Visit Frequency,Location,Trait: Social person,Trait: Active lifestyle,Trait: Drink quality important,Trait: Like finding new things,Taproom Features,Rank: Drink selection,Rank: Ability to do other things aside from drink,Rank: Social interactions with other customers,Rank: Casual conversations with employees,Rank: Price,Rank: Networking with other professionals,Rank: Earning loyalty rewards,Rank: Location,Hesitations,Interaction Factors,Ideal Features,Primary Reason,Consistency Importance,Experience: Themed events,Experience: Social activities,Experience: Community events,Experience: Interactive experiences,Experience: Unique events,Experience: Consistent environment,Community Focus,Return Factor,Live Music Interest,Positive Music Elements,Snack Importance,Snack Order Frequency,Snack Stay Longer,Snack Type Preference,Pairing Interest,AI Consultation,AI Trust,AI Assistant Interest,AI Valuable Features,Segment,Live Music Rating,Negative Music Factors,Preventing Reasons,AI Satisfaction
Male,Yes,28,At least once a month,More than 30 minutes away,4,3,3,2,"['Card games', 'Karaoke available', 'Darts', 'Friendly staff', 'Loyalty program', 'Easy to network with other professionals']",2,4,3,1,7,6,8,5,"['Not having someone to go with', 'Difficult to talk to others in the taproom', 'Poor customer service', 'No rewards program', 'No food']","['Playing competitive trivia', 'Friendliness of staff', 'Group activities to do with others present']","['Friendliness of staff', 'Games available', 'Outdoor seating']",To meet new people,Important – I prefer a familiar experience,3,4,4,3,2,2,"Yes, I value community-focused experiences",Have friendlier staff and better service,Yes; I have attended before,"['Special promotions or discounts during the event', 'Variety of performers', 'Social experience and opportunity to meet new people']",Extremely Important,Rarely,Likely,"['Cold Bites', 'Pre-packaged Snacks']",Yes,No,Not at all,Slightly interested,Information about seasonal or limited edition brews,Event Attendees,Good,,,
Male,Yes,60,At least once a year,Less than 10 minutes away,4,3,3,4,"['Karaoke available', 'Darts', 'Friendly staff', 'Easy to socialize with other customers', 'Loyalty program']",1,4,3,2,6,5,8,7,"['Difficult to talk to others in the taproom', 'No food']","['Being introduced by someone else', 'Good music playing', 'Joining a game', 'Playing competitive trivia', 'Group activities to do with others present']","['Games available', 'Easy to socialize with others', 'Variety of food options', 'Live music']",To try new and unique craft beers,Important – I prefer a familiar experience,4,4,4,4,3,1,"Yes, I value community-focused experiences",Improve the quality of food offerings,"Yes, I haven't attended yet but I'm interested.","['Quality of live music performances', 'High quality of drinks']",Very Important,Most of the time,Likely,['Pre-packaged Snacks'],Maybe,Yes,A lot,Very interested,Information about seasonal or limited edition brews,Summer Tourists,,,,Hated it
Female,Yes,58,At least once a year,Less than 10 minutes away,4,3,3,4,"['Karaoke available', 'Darts', 'Friendly staff', 'Easy to socialize with other customers', 'Loyalty program']",1,2,3,4,5,6,8,7,"['Poor customer service', 'No music']","['Good music playing', 'Joining a game', 'Group activities to do with others present']","['Friendliness of staff', 'Games available', 'Easy to socialize with others', 'Variety of food options', 'Outdoor seating', 'Live music']",To relax and unwind,Not important – I prefer a unique experience each time,4,3,4,4,4,1,"Maybe, if the event aligns with my interests",Host themed nights or special tastings,"Yes, I haven't attended yet but I'm interested.","['High quality of food', 'Quality of live music performances']",Moderately Important,Sometimes,Very Unlikely,['Cold Bites'],Maybe,No,A lot,Moderately interested,History and background of the brewery,Summer Tourists,,,,
Male,Yes,44,At least once a year,More than 30 minutes away,3,3,3,3,"['Pool table', 'Karaoke available', 'Darts', 'Friendly staff', 'Loyalty program']",1,2,3,5,4,6,8,7,"['Not having someone to go with', 'Difficult to talk to others in the taproom', 'Poor customer service', 'No food']","['Good music playing', 'Playing competitive trivia']","['Friendliness of staff', 'Easy to socialize with others', 'Variety of food options', 'Live music']",To socialize with friends/family,Somewhat important – I like a balance of new and familiar elements,4,3,3,3,4,2,"Yes, I value community-focused experiences",Extend happy hour specials,"Yes, I haven't attended yet but I'm interested.","['High quality of food', 'Convenience of location']",Very Important,Rarely,Unlikely,"['Pre-packaged Snacks', 'Warm-prepared Snacks']",Maybe,No,A little,Not interested,Answers to questions about brewing processes and ingredients,Day Trippers,,,,
Male,Yes,41,At least once a week,Between 10 and 30 minutes,3,4,4,4,"['Card games', 'Karaoke available', 'Friendly staff', 'Easy to socialize with other customers', 'Loyalty program']",1,2,3,4,7,5,6,8,"['Not having someone to go with', 'Poor customer service', 'No music']","['Good music playing', 'Playing competitive trivia', 'Friendliness of staff', 'Group activities to do with others present']","['Friendliness of staff', 'Games available', 'Easy to socialize with others', 'Variety of food options', 'Live music', 'Happy hour specials']",To meet new people,Not important – I prefer a unique experience each time,5,3,3,4,5,1,"Maybe, if the event aligns with my interests",Have more frequent events or special nights,"Yes, I haven't attended yet but I'm interested.","['Atmosphere and venue ambiance', 'Being a fan of the band or specific artists performing', 'High quality of drinks', 'Social experience and opportunity to meet new people', 'High quality of drinks']",Not at all important,Most of the time,Very Likely,"['Sweets', 'Warm-prepared Snacks', 'Cold Bites']",Yes,No,A moderate amount,Not interested,Answers to questions about brewing processes and ingredients,Craft Beer Enthusiasts,,,,
Male,Yes,45,At least once a month,Between 10 and 30 minutes,4,3,3,4,"['Pool table', 'Karaoke available', 'Darts', 'Friendly staff', 'Easy to socialize with other customers', 'Loyalty program', 'Easy to network with other professionals']",1,2,4,3,5,6,8,7,"['Not having someone to go with', 'Difficult to talk to others in the taproom', 'No music', 'No food']","['Good music playing', 'Friendliness of staff', 'Group activities to do with others present']","['Friendliness of staff', 'Games available', 'Easy to socialize with others', 'Variety of food options', 'Outdoor seating', 'Live music', 'Happy hour specials']",To meet new people,Not important – I prefer a unique experience each time,4,3,3,4,4,1,"Yes, I value community-focused experiences",Offer a wider selection of craft beers,"Yes, I haven't attended yet but I'm interested.","['Variety of performers', 'Being a fan of the band or specific artists performing']",Very Important,Most of the time,Very Likely,"['Sweets', 'Warm-prepared Snacks']",Maybe,No,A lot,Slightly interested,Wait time estimates for busy periods,Summer Tourists,,,,
Non-binary or other gender,Yes,27,At least once a month,Between 10 and 30 minutes,4,4,4,4,"['Pool table', 'Card games', 'Karaoke available', 'Darts', 'Friendly staff', 'Easy to socialize with other customers', 'Loyalty program', 'Easy to network with other professionals']",1,3,2,4,6,5,7,8,"['Difficult to talk to others in the taproom', 'No rewards program', 'No music', 'No food']","['Good music playing', 'Joining a game', 'Playing competitive trivia']","['Friendliness of staff', 'Games available', 'Easy to socialize with others', 'Variety of food options', 'Outdoor seating', 'Live music', 'Happy hour specials']",To socialize with friends/family,Not important – I prefer a unique experience each time,4,4,3,4,4,1,"Yes, I value community-focused experiences",Offer more unique or experimental brews,Yes; I have attended before,"['Quality of live music performances', 'Convenience of timing', 'Special promotions or discounts during the event']",Slightly important,Sometimes,Very Unlikely,"['Pre-packaged Snacks', 'Warm-prepared Snacks', 'Cold Bites', 'Sweets']",Yes,No,A great deal,Slightly interested,Information about seasonal or limited edition brews,Young Professionals,Good,,,
Male,Yes,46,At least once a year,Less than 10 minutes away,4,3,3,4,"['Card games', 'Karaoke available', 'Darts', 'Friendly staff', 'Easy to socialize with other customers', 'Loyalty program', 'Easy to network with other professionals']",1,4,2,3,5,6,7,8,"['Not having someone to go with', 'Poor customer service', 'No music']","['Good music playing', 'Joining a game', 'Playing competitive trivia', 'Group activities to do with others present']","['Friendliness of staff', 'Easy to socialize with others', 'Variety of food options', 'Outdoor seating', 'Live music']",To attend special events,Not important – I prefer a unique experience each time,4,4,3,4,4,1,"Maybe, if the event aligns with my interests",Offer more unique or experimental brews,"Yes, I haven't attended yet but I'm interested.","['Atmosphere and venue ambiance', 'Convenience of location']",Very Important,Most of the time,Likely,"['Cold Bites', 'Pre-packaged Snacks']",Yes,No,Not at all,Very interested,Beer pairing suggestions for food items,Summer Tourists,,,,
Male,Yes,22,At least once a year,Less than 10 minutes away,4,3,3,4,"['Pool table', 'Card games', 'Karaoke available', 'Darts', 'Friendly staff', 'Loyalty program', 'Easy to network with other professionals']",1,4,3,2,5,6,8,7,"['Poor customer service', 'No music']","['Being introduced by someone else', 'Good music playing', 'Joining a game', 'Playing competitive trivia', 'Friendliness of staff', 'Group activities to do with others present']","['Easy to socialize with others', 'Variety of food options', 'Outdoor seating', 'Happy hour specials']",To relax and unwind,Not important – I prefer a unique experience each time,4,4,3,4,4,1,"Yes, I value community-focused experiences",Provide comfortable seating and atmosphere,Yes; I have attended before,"['Social experience and opportunity to meet new people', 'Variety of performers', 'Social experience and opportunity to meet new people']",Extremely Important,Most of the time,Very Likely,"['Warm-prepared Snacks', 'Pre-packaged Snacks', 'Cold Bites']",Maybe,No,A lot,Not interested,Ability to reserve tables or event tickets,Summer Tourists,Excellent,,,
Male,Yes,47,At least once a month,More than 30 minutes away,4,3,3,4,"['Pool table', 'Card games', 'Karaoke available', 'Darts', 'Friendly staff', 'Easy to socialize with other customers', 'Loyalty program', 'Easy to network with other professionals']",1,4,2,3,6,5,8,7,"['Not having someone to go with', 'Poor customer service', 'No food']","['Good music playing', 'Joining a game', 'Playing competitive trivia', 'Friendliness of staff', 'Group activities to do with others present']","['Friendliness of staff', 'Easy to socialize with others', 'Outdoor seating', 'Live music']",To try new and unique craft beers,Not important – I prefer a unique experience each time,4,3,3,3,4,1,"Maybe, if the event aligns with my interests",Have more frequent events or special nights,"Yes, I haven't attended yet but I'm interested.","['Social experience and opportunity to meet new people', 'Convenience of timing', 'Being a fan of the band or specific artists performing', 'Being a fan of the band or specific artists performing', 'Convenience of timing']",Extremely Important,Most of the time,Very Unlikely,"['Pre-packaged Snacks', 'Cold Bites']",Maybe,No,A lot,Slightly interested,Personalized beer recommendations based on my taste preferences,Summer Tourists,,,,
Female,Yes,60,At least once a month,Less than 10 minutes away,4,3,3,4,"['Pool table', 'Karaoke available', 'Friendly staff', 'Easy to socialize with other customers', 'Loyalty program', 'Easy to network with other professionals']",1,4,3,2,5,6,8,7,"['Difficult to talk to others in the taproom', 'No food']","['Good music playing', 'Joining a game', 'Playing competitive trivia', 'Friendliness of staff', 'Group activities to do with others present']","['Games available', 'Easy to socialize with others', 'Variety of food options', 'Outdoor seating', 'Live music']",To meet new people,Important – I prefer a familiar experience,4,4,3,4,4,1,"Yes, I value community-focused experiences",Add more games or activities,"Yes, I haven't attended yet but I'm interested.","['Atmosphere and venue ambiance', 'Social experience and opportunity to meet new people', 'High quality of food', 'High quality of drinks', 'Variety of performers']",Extremely Important,Most of the time,Likely,"['Warm-prepared Snacks', 'Pre-packaged Snacks']",No,No,A lot,Moderately interested,Updates on specials or happy hours,Summer Tourists,,,,
Male,Yes,74,At least once a year,Less than 10 minutes away,3,3,3,3,"['Loyalty program', 'Easy to network with other professionals']",1,5,4,2,6,7,8,3,"['Difficult to talk to others in the taproom', 'Poor customer service']","['Good music playing', 'Joining a game', 'Playing competitive trivia', 'Friendliness of staff', 'Group activities to do with others present']","['Easy to socialize with others', 'Variety of food options', 'Live music', 'Happy hour specials']",To enjoy a familiar and consistent experience,Not important – I prefer a unique experience each time,3,3,4,3,3,3,"Yes, I value community-focused experiences",Extend happy hour specials,Yes; I have attended before,,Slightly important,Sometimes,Very Likely,"['Warm-prepared Snacks', 'Cold Bites', 'Sweets']",Yes,No,A great deal,Not interested,Personalized beer recommendations based on my taste preferences,Retirees,Neutral,,,
